page_title,page_url,summary,tags,# orgs viewed (in my scope) 
Configure Grafana | Grafana documentation,https://grafana.com/docs/grafana/latest/setup-grafana/configure-grafana/,"The page provides comprehensive guidance on configuring Grafana. It details how users can customize their Grafana instance using default and custom configuration files or environment variables across different OS platforms like Linux, Docker, Windows, and macOS. It explains how to locate configuration files, manage comments in .ini files, override configurations with environment variables, and expand variables using Grafana's variable expansion capabilities. Instructions are given for setting paths, configuring server settings, and handling database connections with options for various DB types. It also covers remote caching, data proxy settings, analytics, security features including encryption, authentication, and proxy whitelisting. Additionally, options for managing users, dashboards, and plugins, as well as external image storage and logging, are included. Lastly, there is information on tracing, alerting, rendering options, panel configurations, and plugin management. The documentation is a thorough reference for setting up and managing a Grafana environment.","Grafana,configuration,Reference,All Platforms",22539
Install Grafana | Grafana documentation,https://grafana.com/docs/grafana/latest/setup-grafana/installation/,"This page provides detailed instructions and requirements for installing Grafana, a data visualization and monitoring software. It outlines the necessary hardware and software prerequisites, supported operating systems (including Debian, Ubuntu, Red Hat, macOS, and Windows), and the database systems Grafana can work with (SQLite, MySQL, and PostgreSQL). The page also highlights the importance of using supported web browsers with JavaScript enabled for optimal performance. It encourages users to consider using Grafana Cloud for a hassle-free managed service experience. Overall, the document aims to help users set up Grafana efficiently by providing the necessary technical guidance and system specifications for a successful installation.","Grafana,installation,configuration,Reference",21001
Grafana documentation | Grafana documentation,https://grafana.com/docs/grafana/latest/,"This page serves as a comprehensive guide to Grafana, covering both its open-source and enterprise versions. Users can learn how to utilize Grafana for querying, visualizing, alerting, and exploring metrics, logs, and traces. The documentation provides steps to set up Grafana, manage data sources, and create insightful dashboards with various panels and visualizations. It also delves into the administrative tasks involved in user management, roles, and permissions configuration. Additionally, users can explore extensive guides on integrating different data sources like Prometheus, InfluxDB, and more, plus details about setting up alerting systems. The page includes information about Grafana's Enterprise features, which provide additional data source plugins and support. Users can stay updated with the release notes, and there is support for integration with CI/CD tools.","Grafana,Dashboards,Configuration,Tutorial",15910
Build your first dashboard | Grafana documentation,https://grafana.com/docs/grafana/latest/getting-started/build-first-dashboard/,"This page is a step-by-step tutorial to help new users get started with Grafana by building their first dashboard. It covers the initial installation process of Grafana on various operating systems, signing in for the first time, and creating a dashboard using the built-in Grafana data source. It includes detailed instructions on adding visualizations, configuring queries, and saving your dashboard. The document encourages experimentation with dashboard features and provides resources for further exploration of data sources, panels, visualizations, and plugins. Admin-focused topics on configuration, authentication, user roles, and provisioning are also highlighted to assist administrators managing Grafana servers.","Grafana,dashboards,Tutorial,getting-started",15490
Start the Grafana server | Grafana documentation,https://grafana.com/docs/grafana/latest/setup-grafana/start-restart-grafana/,"This page provides comprehensive instructions for starting the Grafana server across various operating systems including Linux, Windows, macOS, and Docker. Users will learn how to initiate the Grafana server using different methods such as systemd, init.d, and binary execution. The guide also includes steps to ensure Grafana starts at boot time and methods to adjust server settings like binding to ports under 1024. Additionally, instructions for configuring Docker to run Grafana, as well as using Homebrew on macOS, are provided. These instructions are vital for ensuring that the server is correctly set up and running before proceeding with further configuration or using additional Grafana features.","Grafana,Server Setup,Configuration,Linux,Windows,macOS,Docker,Reference",14395
Install Grafana on Windows | Grafana documentation,https://grafana.com/docs/grafana/latest/setup-grafana/installation/windows/,"This document provides a step-by-step guide for installing Grafana on Windows systems. It outlines two main installation methods: using the Windows standalone installer and using the standalone Windows binary file. For the Windows installer, users download the installer, run it, and follow the setup process. For the standalone binary, users download a ZIP file, unblock it, extract it, and run the executable. Additionally, it offers guidance on how to configure Grafana to operate on a different port if necessary, and suggests using NSSM to run Grafana as a Windows service. The document is aimed at helping users successfully set up Grafana on Windows, ensuring they have the right tools and details to get Grafana up and running for visualization and monitoring purposes.","Grafana,installation,Windows,Tutorial",14251
Run Grafana Docker image | Grafana documentation,https://grafana.com/docs/grafana/latest/setup-grafana/installation/docker/,"This document provides a comprehensive guide on how to run Grafana using Docker. It details the steps to install and configure Grafana through the Docker CLI and Docker Compose. Users can choose between Grafana Open Source and Grafana Enterprise editions, with instructions to set up persistent data storage using Docker volumes or bind mounts. The guide explains how to use environment variables to customize Grafana settings and how to install plugins in Docker containers. An example setup is provided to illustrate the complete process. Additionally, it offers guidance on stopping the container and safeguarding data with persistent storage solutions.","Grafana,installation,configuration,Docker,Tutorial",13748
Plugin management | Grafana documentation,https://grafana.com/docs/grafana/latest/administration/plugin-management/,"This document is a comprehensive guide to managing plugins in Grafana, enhancing the Grafana experience by extending its built-in capabilities. It details types of plugins, including panels, data sources, and apps, and provides instructions on how to install, update, and uninstall them. The guide explains plugin signature verification for security and outlines various methods for installing plugins, such as using the Grafana UI, CLI, or in air-gapped environments. Additionally, it discusses managing access to app plugins with role-based access control (RBAC) and leveraging the plugin catalog for browsing and managing plugins.","Grafana,plugins,administration,Reference",13745
Install Grafana on Debian or Ubuntu | Grafana documentation,https://grafana.com/docs/grafana/latest/setup-grafana/installation/debian/,"This page provides detailed instructions on how to install Grafana on Linux-based systems, specifically Debian or Ubuntu. Users can install Grafana via the Grafana Labs APT repository, which allows automatic updates through the 'apt-get update' command. Alternatively, Grafana can be installed by downloading and installing a .deb package or as a standalone binary. The page includes steps for both installation methods, as well as guidelines for uninstalling Grafana if needed. Additionally, it advises on starting the Grafana server post-installation and offers links for further configurations or troubleshooting.","Grafana,installation,Linux,Tutorial",13415
Data sources | Grafana documentation,https://grafana.com/docs/grafana/latest/datasources/,"This page provides guidance on managing, configuring, and utilizing data sources in Grafana. It explains how to add and manage data sources within Grafana, emphasizing user roles and permissions that allow or restrict data source configuration. Various query editors designed specifically for each data source are discussed, allowing users to effectively query and visualize their data. The document also highlights the integration of special and built-in core data sources such as Prometheus, InfluxDB, and Elasticsearch. Instructions on accessing additional data source plugins available in the Grafana plugin catalog or developing custom ones are provided. This documentation serves as a comprehensive guide for administrators and developers to effectively leverage data sources in creating dashboards, alerts, and visualizations.","Grafana,data-sources,Reference,plugins",12833
